nL,nN,Loss average,Loss std,Acc average,Acc std
2,4,4.214419553296763e-10,1.59657948585279e-10,4.4888443424065814e-10,2.4305506110371144e-10
2,8,5.205537682056771e-10,4.332765163778385e-10,3.4447747999686517e-10,7.60227652553764e-11
2,16,5.919440884658327e-10,5.02574246984976e-10,3.291151023412637e-10,1.0584875525867151e-10
2,32,1.4244454527951438e-09,2.437422584200587e-09,3.624187483275659e-10,1.1219661953595117e-10
4,4,2.731138984967538e-10,6.360374374477145e-11,4.111583377969726e-10,5.3858597796250455e-11
4,8,5.852808092665747e-10,3.7010364163842603e-10,3.389725177552836e-10,4.172423304209446e-11
4,16,4.3563493501299406e-10,5.349393244108109e-10,3.8258819226741747e-10,9.209055787747355e-11
4,32,2.6800777880120077e-10,1.49601708917144e-10,3.5517175439152215e-10,8.298653761614538e-11
8,4,2.4545144346590333e-10,1.1332246829080521e-10,3.7974918502077975e-10,7.26018185279879e-11
8,8,2.3007907644721905e-10,6.83614932970353e-11,3.6949233526871923e-10,5.004221885595519e-11
8,16,4.822579062150121e-10,5.010845736594129e-10,3.717176356280393e-10,5.48232543416537e-11
8,32,6.940388737899412e-10,7.442130271148608e-10,4.09090666569881e-10,7.652248694677847e-11
