nL,nN,Loss average,Loss std,Acc average,Acc std
2,4,3.6233253457697304e-09,1.4976507629486947e-09,5.676030769657506e-09,2.1854988123195507e-09
2,8,5.151616296406668e-10,1.5376895840625436e-10,1.0663082827335544e-09,5.162429117176262e-10
2,16,3.307600713355193e-10,4.260813408116482e-11,8.369228636382077e-10,1.650922237225724e-10
2,32,2.801377658432501e-10,2.2724949341570706e-11,7.668289242979472e-10,1.1808293816636882e-10
4,4,3.6007139610207387e-09,1.3101515476240417e-09,5.921269001001665e-09,1.8513721785160293e-09
4,8,1.013960503924665e-09,8.521463835900496e-10,1.933527545836325e-09,1.2581913544678541e-09
4,16,4.3797966927104047e-10,4.178339925999739e-11,1.217442431861052e-09,2.6499907404080377e-10
4,32,3.381086394988762e-10,3.4675727018883324e-11,9.593344910759233e-10,2.448669254936813e-10
8,4,4.319271969560849e-09,5.839716390176767e-11,6.79909353688042e-09,1.395447930872644e-10
8,8,3.146703477125441e-09,1.1495439164997704e-09,5.518864907486859e-09,1.1901822168151796e-09
8,16,6.179277760288105e-10,7.227514469577564e-11,1.6470567615709245e-09,4.131143864990204e-10
8,32,4.4687703356566457e-10,6.020044249484654e-11,1.3144578003396157e-09,4.0394581732935023e-10
