nL,nN,Loss average,Loss std,Acc average,Acc std
2,4,3.604974198179989e-09,1.5974497295280456e-09,5.3646861098391145e-09,2.1793272252796922e-09
2,8,5.230279152819602e-10,1.6016653319880183e-10,1.1190425105950912e-09,5.179861160787573e-10
2,16,3.5760407307404296e-10,5.28609600142442e-11,8.08389204700365e-10,1.6942581777906795e-10
2,32,2.795978051302288e-10,2.389326507692298e-11,7.84034937927849e-10,1.1194819308110116e-10
4,4,3.954604887304243e-09,1.113489773691208e-09,6.187780413895472e-09,1.6510367813740616e-09
4,8,1.0592644571922098e-09,8.867427444997093e-10,2.028020206940301e-09,1.2921496806291684e-09
4,16,4.56634717460551e-10,5.37144342317687e-11,1.2046592111463748e-09,2.8102053300397506e-10
4,32,4.211720754579729e-10,1.1077674139624447e-10,9.592996211689809e-10,1.9760490948339983e-10
8,4,4.525538832426331e-09,2.374395288170128e-10,6.691614385379681e-09,1.748282546685367e-10
8,8,3.1208550270481203e-09,1.25922820041581e-09,5.368336468510316e-09,1.1772093792285257e-09
8,16,6.3281414859948e-10,5.990047065276307e-11,1.728669785838841e-09,3.5074100093161907e-10
8,32,5.380790546936392e-10,1.811530266325839e-10,1.2982965227013969e-09,3.8425954085463183e-10
