nL,nN,Loss average,Loss std,Acc average,Acc std
2,4,5.864475503203887e-11,2.7277024338681935e-11,3.046043787162889e-06,1.7487257560294463e-07
2,8,3.352116850798866e-11,1.6575503175741504e-12,3.199616733649193e-06,3.1045664966058915e-08
2,16,3.147618242897661e-11,2.1065221636518113e-12,3.2607262639018356e-06,4.459262611308653e-08
2,32,2.8525408223680293e-11,4.0896364648293375e-13,3.245734748117943e-06,1.7572389962024994e-08
4,4,4.426162149298578e-11,6.073007604150134e-12,3.165373284607151e-06,6.642080761281249e-08
4,8,3.719446007007315e-11,2.0156502115673405e-12,3.1994737392386856e-06,3.6072930176768383e-08
4,16,3.5158519228641597e-11,1.8627805731921776e-12,3.233597288706301e-06,2.5985934001398333e-08
4,32,3.1541488190348975e-11,8.989046690880607e-13,3.2246027031983384e-06,1.6897491285322102e-08
8,4,5.1622344029996355e-11,9.865906132870462e-12,3.1769970586490195e-06,8.431762975792006e-08
8,8,4.5733989789185915e-11,4.110779295731929e-12,3.1660920555153668e-06,3.1098476164490064e-08
8,16,4.1924457767985206e-11,2.5978063242674343e-12,3.217224407368043e-06,3.017231599830389e-08
8,32,3.677782503175088e-11,1.1065419110221828e-12,3.208866902917932e-06,2.7017853668595375e-08
