nL,nN,Loss average,Loss std,Acc average,Acc std
2,4,2.888627525068649e-10,1.5092619444109647e-10,5.320770231034043e-10,2.705301723936017e-10
2,8,4.874866703227659e-10,8.484572033223656e-10,8.225569923589994e-10,1.118978165667892e-09
2,16,2.6184108970166143e-10,1.9077186861969535e-10,4.078847813908448e-10,1.1910341093277187e-10
2,32,1.6681147810288654e-09,4.3611587919796885e-09,1.391901279700751e-09,2.6700883447254155e-09
4,4,2.0417145259986847e-10,1.5312729491609192e-11,4.398999790787091e-10,7.202790114291456e-11
4,8,1.8405104473015908e-10,1.8207137392242212e-11,3.763019969045881e-10,3.094254917183131e-11
4,16,2.6637738693513036e-10,1.8691500597485212e-10,6.361842047578719e-10,5.565084640229903e-10
4,32,3.5402055469501366e-09,7.060584923128123e-09,5.1963166142855695e-09,7.82299603521877e-09
8,4,1.850195778361738e-10,1.0746263950935627e-11,3.939444237353141e-10,7.267050873906259e-11
8,8,1.6652457806918725e-10,1.065155714381161e-11,3.8281378159692416e-10,5.0553819397541817e-11
8,16,2.217358578094679e-10,1.7729835595975206e-10,5.108521292068787e-10,2.2766186618127655e-10
8,32,4.847061041945741e-09,1.4075084556237824e-08,4.16880163652906e-09,1.1031783887143547e-08
